Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 8, 2021;7:00 AM;79.56;79.56;79.56;86.93;81.07;74.9;63.68;79.56;79.41;81.07;78;83.5;81.07;-;71.92;77.38
Jan 8, 2021;8:00 AM;103.54;103.54;103.54;103.54;103.54;103.54;64.46;103.54;98.2;103.54;96.61;97.95;103.54;-;103.54;103.54
Jan 8, 2021;9:00 AM;110.45;107.8;107.8;110.45;110.45;110.45;64.8;107.8;102.03;110.45;100;100.04;110.45;-;110.45;107.8
Jan 8, 2021;10:00 AM;109.96;107.32;107.32;109.96;109.96;109.96;62.39;107.32;101.08;109.96;98.77;99.72;109.96;-;109.96;107.32
Jan 8, 2021;11:00 AM;106.82;104.26;104.26;106.82;106.82;106.82;64.31;104.26;100.74;106.82;98.45;98.45;106.82;-;106.82;104.26
Jan 8, 2021;12:00 PM;102.37;99.91;99.91;102.37;95;102.37;65.88;99.91;97.7;95;97.4;97.4;102.37;-;102.37;99.91
Jan 8, 2021;1:00 PM;97.61;95.27;95.27;97.61;88.1;97.61;67.37;95.27;92.61;88.1;92.18;92.18;97.61;-;97.61;95.27
Jan 8, 2021;2:00 PM;95;92.72;92.72;95;95;95;64.77;92.72;85.9;95;87.95;87.95;95;-;95;92.72
Jan 8, 2021;3:00 PM;95.42;95.42;95.42;95.42;95.42;95.42;63.79;95.42;85.82;95.42;87;87;95.42;-;95.42;95.42
Jan 8, 2021;4:00 PM;95;95;95;95;95;95;64.54;95;90.61;95;90.01;90.01;95;-;95;95
Jan 8, 2021;5:00 PM;110;110;110;110;110;110;63.18;110;97.45;110;100;100;110;-;110;110
Jan 8, 2021;6:00 PM;102.41;99.95;99.95;113.37;102.41;87.44;62.77;99.95;96;102.41;95.5;95.5;102.41;-;118.8;99.95
Jan 8, 2021;7:00 PM;88.05;80.12;80.12;114.89;83.06;56.81;62.16;80.12;85.42;83.06;81.07;81.07;90.45;-;114.89;80.12
Jan 8, 2021;8:00 PM;64.24;64.24;64.24;88.06;70;45.1;61.48;61.48;70.26;70;70;70;70;-;88.06;61.48
Jan 8, 2021;9:00 PM;59.43;59.43;59.43;78.37;64.06;44.88;59.43;59.43;64.35;63.97;62.79;62.79;63.97;-;78.5;59.43
